Time,P_real,P_uoc
1/1/2025 0:00,0,0
1/1/2025 0:10,0,0
1/1/2025 0:20,0,0
1/1/2025 0:30,0,0
1/1/2025 0:40,0,0
1/1/2025 0:50,0,0
1/1/2025 1:00,0,0
1/1/2025 1:10,0,0
1/1/2025 1:20,0,0
1/1/2025 1:30,0,0
1/1/2025 1:40,0,0
1/1/2025 1:50,0,0
1/1/2025 2:00,0,0
1/1/2025 2:10,0,0
1/1/2025 2:20,0,0
1/1/2025 2:30,0,0
1/1/2025 2:40,0,0
1/1/2025 2:50,0,0
1/1/2025 3:00,0,0
1/1/2025 3:10,0,0
1/1/2025 3:20,0,0
1/1/2025 3:30,0,0
1/1/2025 3:40,0,0
1/1/2025 3:50,0,0
1/1/2025 4:00,0,0
1/1/2025 4:10,0,0
1/1/2025 4:20,0,0
1/1/2025 4:30,0,0
1/1/2025 4:40,0,0
1/1/2025 4:50,0,0
1/1/2025 5:00,0,0
1/1/2025 5:10,0,0
1/1/2025 5:20,0,0
1/1/2025 5:30,0,0.4637325867133952
1/1/2025 5:40,0,0.579665733
1/1/2025 5:50,0,0.579665733
1/1/2025 6:00,0,0
1/1/2025 6:10,0,0
1/1/2025 6:20,0.11208049999999999,0.11208049999999999
1/1/2025 6:30,0.6326069999999999,0.6326069999999999
1/1/2025 6:40,1.179584,1.179584
1/1/2025 6:50,1.7301002,1.7301002
1/1/2025 7:00,2.143957,2.143957
1/1/2025 7:10,2.7772694,2.7772694
1/1/2025 7:20,3.2830824,3.2830824
1/1/2025 7:30,3.2375886,3.2375886
1/1/2025 7:40,3.27072,3.27072
1/1/2025 7:50,3.7592017999999996,3.7592017999999996
1/1/2025 8:00,4.228783,4.228783
1/1/2025 8:10,5.1771874,5.1771874
1/1/2025 8:20,5.8097308,5.8097308
1/1/2025 8:30,7.6574884,7.6574884
1/1/2025 8:40,11.083279000000001,11.083279000000001
1/1/2025 8:50,9.4625876,9.4625876
1/1/2025 9:00,9.3100544,9.3100544
1/1/2025 9:10,9.827910800000002,9.827910800000002
1/1/2025 9:20,10.3268314,10.3268314
1/1/2025 9:30,8.9033736,10.33642342794821
1/1/2025 9:40,5.2035964,5.2035964
1/1/2025 9:50,5.413439800000001,5.413439800000001
1/1/2025 10:00,4.7030590000000005,10.396781790271922
1/1/2025 10:10,5.082678400000001,10.30732325074455
1/1/2025 10:20,4.9433752,7.485725261660761
1/1/2025 10:30,4.472849399999999,6.605328958161472
1/1/2025 10:40,4.5548708,8.763021538049076
1/1/2025 10:50,4.9630026,10.884632302219494
1/1/2025 11:00,4.798681,12.883564892951487
1/1/2025 11:10,1.8648510000000003,13.121704876684902
1/1/2025 11:20,1.711759,13.19386850811927
1/1/2025 11:30,4.4063292,15.806191966043391
1/1/2025 11:40,5.6008218,21.045271608178506
1/1/2025 11:50,5.108261000000001,22.863795120324582
1/1/2025 12:00,7.4292142,18.952526296581834
1/1/2025 12:10,8.2155624,22.58957332087398
1/1/2025 12:20,7.167515400000001,19.147368101454628
1/1/2025 12:30,7.9692492,17.16286823700951
1/1/2025 12:40,8.620166600000001,19.34942626947086
1/1/2025 12:50,8.114801799999999,26.659602133772335
1/1/2025 13:00,7.767769199999999,22.02669699568591
1/1/2025 13:10,7.4148416,22.30091879513651
1/1/2025 13:20,7.7382914,21.074137060752257
1/1/2025 13:30,10.843144800000001,21.709177017374692
1/1/2025 13:40,12.7109178,24.364798654159436
1/1/2025 13:50,14.104397599999999,23.888518686692606
1/1/2025 14:00,15.2051008,17.497849829723098
1/1/2025 14:10,17.557587,17.752473913523954
1/1/2025 14:20,15.893919,15.893919
1/1/2025 14:30,17.958721399999998,17.958721399999998
1/1/2025 14:40,15.954642400000001,15.954642400000001
1/1/2025 14:50,12.0350438,12.0350438
1/1/2025 15:00,10.658509200000001,10.658509200000001
1/1/2025 15:10,15.1430462,15.1430462
1/1/2025 15:20,15.066023000000001,15.066023000000001
1/1/2025 15:30,14.687904399999999,14.687904399999999
1/1/2025 15:40,13.4152706,13.4152706
1/1/2025 15:50,12.9555644,12.9555644
1/1/2025 16:00,9.296175,9.296175
1/1/2025 16:10,7.265504,7.265504
1/1/2025 16:20,6.2035974,6.2035974
1/1/2025 16:30,5.0933272,5.0933272
1/1/2025 16:40,4.2077568,4.2077568
1/1/2025 16:50,3.2617187999999997,3.2617187999999997
1/1/2025 17:00,2.800891,2.800891
1/1/2025 17:10,2.7276802,2.7276802
1/1/2025 17:20,1.7236384,1.7236384
1/1/2025 17:30,0.9479407999999999,0.9479407999999999
1/1/2025 17:40,0,0
1/1/2025 17:50,0,0.579665733
1/1/2025 18:00,0,0
1/1/2025 18:10,0,0.2318662933566976
1/1/2025 18:20,0,0
1/1/2025 18:30,0,0
1/1/2025 18:40,0,0
1/1/2025 18:50,0,0
1/1/2025 19:00,0,0
1/1/2025 19:10,0,0
1/1/2025 19:20,0,0
1/1/2025 19:30,0,0
1/1/2025 19:40,0,0
1/1/2025 19:50,0,0
1/1/2025 20:00,0,0
1/1/2025 20:10,0,0
1/1/2025 20:20,0,0
1/1/2025 20:30,0,0
1/1/2025 20:40,0,0
1/1/2025 20:50,0,0
1/1/2025 21:00,0,0
1/1/2025 21:10,0,0
1/1/2025 21:20,0,0
1/1/2025 21:30,0,0
1/1/2025 21:40,0,0
1/1/2025 21:50,0,0
1/1/2025 22:00,0,0
1/1/2025 22:10,0,0
1/1/2025 22:20,0,0
1/1/2025 22:30,0,0
1/1/2025 22:40,0,0
1/1/2025 22:50,0,0
1/1/2025 23:00,0,0
1/1/2025 23:10,0,0
1/1/2025 23:20,0,0
1/1/2025 23:30,0,0
1/1/2025 23:40,0,0
1/1/2025 23:50,0,0
1/2/2025 0:00,0,0
1/2/2025 0:10,0,0
1/2/2025 0:20,0,0
1/2/2025 0:30,0,0
1/2/2025 0:40,0,0
1/2/2025 0:50,0,0
1/2/2025 1:00,0,0
1/2/2025 1:10,0,0
1/2/2025 1:20,0,0
1/2/2025 1:30,0,0
1/2/2025 1:40,0,0
1/2/2025 1:50,0,0
1/2/2025 2:00,0,0
1/2/2025 2:10,0,0
1/2/2025 2:20,0,0
1/2/2025 2:30,0,0
1/2/2025 2:40,0,0
1/2/2025 2:50,0,0
1/2/2025 3:00,0,0
1/2/2025 3:10,0,0
1/2/2025 3:20,0,0
1/2/2025 3:30,0,0
1/2/2025 3:40,0,0
1/2/2025 3:50,0,0
1/2/2025 4:00,0,0
1/2/2025 4:10,0,0
1/2/2025 4:20,0,0
1/2/2025 4:30,0,0
1/2/2025 4:40,0,0
1/2/2025 4:50,0,0
1/2/2025 5:00,0,0
1/2/2025 5:10,0,0
1/2/2025 5:20,0,0
1/2/2025 5:30,0,0
1/2/2025 5:40,0,0
1/2/2025 5:50,0,0
1/2/2025 6:00,0,0.579665733
1/2/2025 6:10,0,0
1/2/2025 6:20,0.0112608,0.0112608
1/2/2025 6:30,0.036510600000000004,0.036510600000000004
1/2/2025 6:40,0.23215439999999998,0.23215439999999998
1/2/2025 6:50,0.48413900000000004,0.48413900000000004
1/2/2025 7:00,0.9196998000000001,0.9196998000000001
1/2/2025 7:10,1.4409784,1.4409784
1/2/2025 7:20,1.8883502,1.8883502
1/2/2025 7:30,2.6062062,2.6062062
1/2/2025 7:40,3.0500252,3.0500252
1/2/2025 7:50,3.647768,3.647768
1/2/2025 8:00,4.3220304,4.3220304
1/2/2025 8:10,6.1634544,6.1634544
1/2/2025 8:20,8.483802800000001,8.483802800000001
1/2/2025 8:30,10.8924742,10.8924742
1/2/2025 8:40,11.2763934,11.2763934
1/2/2025 8:50,13.352374000000001,13.352374000000001
1/2/2025 9:00,13.143654399999999,13.143654399999999
1/2/2025 9:10,12.688065,12.688065
1/2/2025 9:20,13.589982800000001,13.589982800000001
1/2/2025 9:30,12.1525738,12.1525738
1/2/2025 9:40,13.701296600000001,13.701296600000001
1/2/2025 9:50,15.1720628,15.1720628
1/2/2025 10:00,18.787980400000002,18.787980400000002
1/2/2025 10:10,19.7826232,19.7826232
1/2/2025 10:20,27.8675388,27.8675388
1/2/2025 10:30,24.8443342,24.894803231641625
1/2/2025 10:40,21.04384,21.04384
1/2/2025 10:50,19.207276999999998,19.207276999999998
1/2/2025 11:00,17.0978634,17.0978634
1/2/2025 11:10,15.396853400000001,15.396853400000001
1/2/2025 11:20,13.9707938,13.9707938
1/2/2025 11:30,15.2104716,15.2104716
1/2/2025 11:40,17.6842128,17.6842128
1/2/2025 11:50,17.6398102,17.6398102
1/2/2025 12:00,17.7613026,17.7613026
1/2/2025 12:10,20.1049408,20.1049408
1/2/2025 12:20,16.8589862,16.8589862
1/2/2025 12:30,16.261729600000002,16.261729600000002
1/2/2025 12:40,15.959316999999999,15.959316999999999
1/2/2025 12:50,13.3074526,13.3074526
1/2/2025 13:00,13.9600264,13.9600264
1/2/2025 13:10,15.105141399999999,15.105141399999999
1/2/2025 13:20,21.2646396,21.2646396
1/2/2025 13:30,34.5758442,34.5758442
1/2/2025 13:40,24.1842124,26.962689385796683
1/2/2025 13:50,20.6209698,20.680146356559373
1/2/2025 14:00,27.6156966,27.6156966
1/2/2025 14:10,26.651127600000002,26.651127600000002
1/2/2025 14:20,25.80677,25.80677
1/2/2025 14:30,17.9374748,17.9374748
1/2/2025 14:40,18.072534,18.072534
1/2/2025 14:50,18.088163599999998,18.088163599999998
1/2/2025 15:00,19.2236358,19.2236358
1/2/2025 15:10,18.4802256,18.4802256
1/2/2025 15:20,13.729425,13.729425
1/2/2025 15:30,10.7245858,10.7245858
1/2/2025 15:40,11.9463136,11.9463136
1/2/2025 15:50,10.587263400000001,10.587263400000001
1/2/2025 16:00,5.9077942,5.9077942
1/2/2025 16:10,3.8653280000000003,3.8653280000000003
1/2/2025 16:20,3.0283028,3.0283028
1/2/2025 16:30,2.8992412,2.8992412
1/2/2025 16:40,2.7220041999999998,2.7220041999999998
1/2/2025 16:50,2.1824247999999997,2.1824247999999997
1/2/2025 17:00,1.8168634000000001,1.8168634000000001
1/2/2025 17:10,1.5215968,1.5215968
1/2/2025 17:20,1.1388238,1.1388238
1/2/2025 17:30,0.6148702,0.6148702
1/2/2025 17:40,0.0565248,0.0565248
1/2/2025 17:50,0,0
1/2/2025 18:00,0,0
1/2/2025 18:10,0,0
1/2/2025 18:20,0,0
1/2/2025 18:30,0,0.1159331466783488
1/2/2025 18:40,0,0
1/2/2025 18:50,0,0
1/2/2025 19:00,0,0
1/2/2025 19:10,0,0
1/2/2025 19:20,0,0
1/2/2025 19:30,0,0
1/2/2025 19:40,0,0
1/2/2025 19:50,0,0
1/2/2025 20:00,0,0
1/2/2025 20:10,0,0
1/2/2025 20:20,0,0
1/2/2025 20:30,0,0
1/2/2025 20:40,0,0
1/2/2025 20:50,0,0
1/2/2025 21:00,0,0
1/2/2025 21:10,0,0
1/2/2025 21:20,0,0
1/2/2025 21:30,0,0
1/2/2025 21:40,0,0
1/2/2025 21:50,0,0
1/2/2025 22:00,0,0
1/2/2025 22:10,0,0
1/2/2025 22:20,0,0
1/2/2025 22:30,0,0
1/2/2025 22:40,0,0
1/2/2025 22:50,0,0
1/2/2025 23:00,0,0
1/2/2025 23:10,0,0
1/2/2025 23:20,0,0
1/2/2025 23:30,0,0
1/2/2025 23:40,0,0
1/2/2025 23:50,0,0
1/3/2025 0:00,0,0
1/3/2025 0:10,0,0
1/3/2025 0:20,0,0
1/3/2025 0:30,0,0
1/3/2025 0:40,0,0
1/3/2025 0:50,0,0
1/3/2025 1:00,0,0
1/3/2025 1:10,0,0
1/3/2025 1:20,0,0
1/3/2025 1:30,0,0
1/3/2025 1:40,0,0
1/3/2025 1:50,0,0
1/3/2025 2:00,0,0
1/3/2025 2:10,0,0
1/3/2025 2:20,0,0
1/3/2025 2:30,0,0
1/3/2025 2:40,0,0
1/3/2025 2:50,0,0
1/3/2025 3:00,0,0
1/3/2025 3:10,0,0
1/3/2025 3:20,0,0
1/3/2025 3:30,0,0
1/3/2025 3:40,0,0
1/3/2025 3:50,0,0
1/3/2025 4:00,0,0
1/3/2025 4:10,0,0
1/3/2025 4:20,0,0
1/3/2025 4:30,0,0
1/3/2025 4:40,0,0
1/3/2025 4:50,0,0
1/3/2025 5:00,0,0
1/3/2025 5:10,0,0
1/3/2025 5:20,0,0
1/3/2025 5:30,0,0.6951275436867327
1/3/2025 5:40,0,0.4199630714694143
1/3/2025 5:50,0,0.1375822361086592
1/3/2025 6:00,0,0.723992996
1/3/2025 6:10,0,0.7456420856907904
1/3/2025 6:20,0.1303766,0.1303766
1/3/2025 6:30,0.4398388,0.4398388
1/3/2025 6:40,0.965403,0.965403
1/3/2025 6:50,1.6206616,1.6206616
1/3/2025 7:00,1.9763730000000002,1.9763730000000002
1/3/2025 7:10,2.7494168,2.7494168
1/3/2025 7:20,3.3123413999999998,3.3123413999999998
1/3/2025 7:30,4.2307232,4.2307232
1/3/2025 7:40,5.328829799999999,5.328829799999999
1/3/2025 7:50,5.569705399999999,5.569705399999999
1/3/2025 8:00,6.6735542,6.6735542
1/3/2025 8:10,8.2854402,8.2854402
1/3/2025 8:20,7.5647274,7.5647274
1/3/2025 8:30,7.531766999999999,7.531766999999999
1/3/2025 8:40,10.952671,10.952671
1/3/2025 8:50,12.4488652,12.4488652
1/3/2025 9:00,13.133112,13.133112
1/3/2025 9:10,9.843870800000001,9.843870800000001
1/3/2025 9:20,9.7428366,9.7428366
1/3/2025 9:30,12.872276,12.872276
1/3/2025 9:40,15.196837400000001,15.196837400000001
1/3/2025 9:50,20.964969,20.964969
1/3/2025 10:00,19.635651799999998,19.635651799999998
1/3/2025 10:10,25.928743400000002,27.609956584832766
1/3/2025 10:20,20.682033999999998,20.682033999999998
1/3/2025 10:30,19.520928,19.520928
1/3/2025 10:40,18.5291402,18.5291402
1/3/2025 10:50,18.7358102,18.7358102
1/3/2025 11:00,31.4870408,31.874721599999997
1/3/2025 11:10,34.2781268,34.2781268
1/3/2025 11:20,28.020783,29.21991752662957
1/3/2025 11:30,20.8342248,20.8342248
1/3/2025 11:40,32.041076600000004,32.041076600000004
1/3/2025 11:50,28.5178226,28.5178226
1/3/2025 12:00,37.2796262,37.94948911070513
1/3/2025 12:10,36.1504258,37.28312120095571
1/3/2025 12:20,34.0901846,36.315599059501054
1/3/2025 12:30,36.941414599999995,36.941414599999995
1/3/2025 12:40,36.8189554,36.8189554
1/3/2025 12:50,35.8895936,35.8895936
1/3/2025 13:00,36.855308,36.855308
1/3/2025 13:10,21.478108,21.478108
1/3/2025 13:20,17.8315394,17.8315394
1/3/2025 13:30,27.3484386,34.328335882153205
1/3/2025 13:40,23.096330000000002,23.25240981235771
1/3/2025 13:50,12.486227,13.684581201872973
1/3/2025 14:00,24.7208732,24.7208732
1/3/2025 14:10,33.8930632,33.8930632
1/3/2025 14:20,31.639672400000002,31.639672400000002
1/3/2025 14:30,30.984693600000003,30.984693600000003
1/3/2025 14:40,29.129360600000002,29.129360600000002
1/3/2025 14:50,20.2776684,20.2776684
1/3/2025 15:00,19.265554,19.265554
1/3/2025 15:10,8.936194799999999,8.936194799999999
1/3/2025 15:20,9.8487146,9.8487146
1/3/2025 15:30,10.376009700000001,10.376009700000001
1/3/2025 15:40,13.027094199999999,13.027094199999999
1/3/2025 15:50,13.791000400000001,13.791000400000001
1/3/2025 16:00,18.3087802,18.3087802
1/3/2025 16:10,11.184485,11.184485
1/3/2025 16:20,10.9524076,10.9524076
1/3/2025 16:30,2.77597,2.77597
1/3/2025 16:40,1.4929648,1.4929648
1/3/2025 16:50,1.3133554,1.3133554
1/3/2025 17:00,1.2171205999999999,1.2171205999999999
1/3/2025 17:10,0.6570858,0.6570858
