ID_NM,Loại hình,TEN_NM,CS_COD,COD,KINHDO,VIDO,PHONE,,,,,
122,Gió,ĐG Phong Điện 1 - Bình Thuận,30,9/12/2009,108.67437,11.215312,02523951866,,,,,
149,Gió,ĐG Bạc Liêu,99.2,6/20/2013,105.824897,9.240214,02916559971,,,,,
213,Gió,ĐG Phú Lạc,24,9/11/2016,108.696449,11.224929,02523967888,,,,,
220,Gió,ĐG Hướng Linh 2,30,9/1/2017,106.782167,16.71477,02332221686,,,,,
231,Gió,ĐG Hướng Linh 1,30,11/21/2019,106.774081,16.711858,02332221686,,,,,
241,Gió,ĐG Đầm Nại,39.375,12/13/2018,109.059411,11.667726,0259.627.0088,,,,,
301,Gió,ĐG Tây Nguyên,28.8,6/8/2021,108.266058,13.16518,02623660099,,,,,
308,Mặt trời,MT Phong Điền,35,1/1/2019,107.379098,16.733615,02346298967,,,,,
309,Gió,ĐG Trung Nam,151.95,6/4/2021,109.025714,11.692953,,,,,,
310,Mặt trời,MT Krông Pa,49,11/28/2018,108.660862,13.228218,02693622728,,,,,
313,Gió,ĐG Mũi Dinh,37.6,4/23/2019,108.974047,11.41228,02592235888,,,,,
315,Mặt trời,MT Srêpôk 1,42.1,1/28/2019,107.826948,12.815108,,,,,,
316,Mặt trời,MT Quang Minh,40.9,1/31/2019,107.826948,12.815108,,,,,,
317,Mặt trời,MT BP Solar 1,41.4,3/8/2019,108.879442,11.527729,02596271616,,,,,
318,Mặt trời,MT TTĐL Vĩnh Tân,4.42,1/1/2019,,,,,,,,
319,Mặt trời,MT TTC số 1,48,3/6/2019,106.28,11.03,02763777768,,,,,
320,Mặt trời,MT TTC số 2,40.8,4/19/2019,106.3192,11.0213,02763777668,,,,,
321,Mặt trời,MT Yên Định,30,1/1/2019,105.624,20.005,,,,,,
322,Mặt trời,MT CMX,143.77,6/15/2019,108.811,11.7097,02596267997,,,,,
323,Mặt trời,MT Đa Mi,42,6/1/2019,107.8388,11.2517,,,,,,
324,Mặt trời,MT Cư Jút,50,4/20/2019,107.87,12.6,02612460999,,,,,
325,Mặt trời,MT Trung Nam,204,6/18/2019,109.025714,11.692953,02593900036,,,,,
326,Mặt trời,MT BIM,25,4/23/2019,108.896497,11.444837,,,,,,
327,Mặt trời,MT Cát Hiệp,42,6/5/2019,109.0177,14.0175,,,,,,
328,Mặt trời,MT KCN Châu Đức,58,6/26/2019,107.180778,10.579722,0932122065,,,,,
329,Mặt trời,MT Đá Bạc,48,6/6/2019,107.2833,10.5667,02543962288,,,,,
330,Mặt trời,MT Đá Bạc 2,48,5/5/2019,107.2777,10.5836,02543878888,,,,,
331,Mặt trời,MT Đá Bạc 3,42,5/15/2019,107.2777,10.5836,02543878999,,,,,
332,Mặt trời,MT Đá Bạc 4,42,6/21/2019,107.2733,10.5867,02543962288,,,,,
333,Mặt trời,MT Hàm Phú 2,40.8,4/21/2019,108.0734225,11.15512193,02523699007,,,,,
334,Mặt trời,MT Sông Lũy 1,39,5/13/2019,108.318056,11.196389,02522481066,,,,,
335,Mặt trời,MT Phong Phú,38,5/9/2019,108.637,11.226,02523699666,,,,,
336,Mặt trời,MT Vĩnh Hảo,29.99,1/1/2019,108.733312,11.281852,,,,,,
337,Mặt trời,MT Hồng Phong 1A,150,6/8/2019,108.2711,11.05472,02523658866,,,,,
338,Mặt trời,MT Hồng Phong 1B,100,1/1/2019,108.29806,11.07583,,,,,,
339,Mặt trời,MT Hồng Phong 4,44,6/4/2019,108.1918,11.0238,02522481889,,,,,
340,Mặt trời,MT Vĩnh Hảo 4,36.8,1/1/2019,108.7329,11.281058,02523900999,,,,,
341,Mặt trời,MT Eco Seido Tuy Phong,40,6/10/2019,107.69,11.24,02522481455,,,,,
342,Mặt trời,MT Jang Pông,26.83,4/24/2019,107.8312498,12.8732839,02622490005,,,,,
343,Mặt trời,MT Cẩm Hòa,43.75,6/13/2019,106.02,18.33,,,,,,
344,Mặt trời,MT Sông Giang,45.9,5/8/2019,109.5,11.53,02586259595,,,,,
345,Mặt trời,MT Đức Huệ 1,40.8,4/20/2019,106.3,10.9,02723838792,,,,,
346,Mặt trời,MT Gelex Ninh Thuận,42,5/13/2019,108.997,11.436,02596267726,,,,,
347,Mặt trời,MT Hồ Bầu Ngứ,50,6/27/2019,108.977,11.4683,02596267668,,,,,
348,Mặt trời,MT Phước Hữu Điện Lực 1,28.05,5/9/2019,108.504267,10.295556,02596267699,,,,,
